gh_project_name,"sum(tr_tests_fail)/sum(tr_status = ""passed"")"
Nordstrom/chef-vault,2.0000
norman/friendly_id,12.4667
notnoop/java-apns,1.6667
nviennot/nobrainer,2.0000
ocpsoft/rewrite,2.4107
opal/opal,10.7967
openfoodfoundation/openfoodnetwork,13.0000
opf/openproject,107.6667
orbeon/orbeon-forms,3.0000
OryxProject/oryx,1.0000
padrino/padrino-framework,2.1923
pagseguro/ruby,4.0000
pearkes/tugboat,4.0000
perwendel/spark,12.0000
peter-murach/finite_machine,176.3603
peter-murach/github,255.0690
peter-murach/github_cli,228.9500
philostler/rspec-sidekiq,3.3333
pivotal/LicenseFinder,14.7234
plataformatec/devise,137.3590
plataformatec/simple_form,59.4500
plexus/yaks,212.0976
poise/poise,89.4583
prawnpdf/prawn,157.8696
projectblacklight/blacklight,246.0000
projecthydra/sufia,94.5053
promiscuous-io/promiscuous,119.0638
pry/pry,21.6889
psu-stewardship/scholarsphere,2.2353
puppetlabs/facter,2.4000
puppetlabs/puppet,8.3276
puppetlabs/puppetlabs-mongodb,56.0000
puppetlabs/puppetlabs-stdlib,10.8235
radar/by_star,191.5455
radar/forem,2.0000
radiant/radiant,6.0000
rails-api/active_model_serializers,18.3388
rails-api/rails-api,6.0000
rails/activejob,1.0000
rails/activeresource,1.0000
rails/globalid,16.6667
rails/jbuilder,5.6000
rails/protected_attributes,5.0000
rails/rails,141.0669
rails/spring,6.3333
railsware/js-routes,176.4444
rapid7/metasploit-framework,2.0000
rbCAS/CASino,2.0000
ReactiveX/RxJava,1.0000
realestate-com-au/pact,2.0000
rebelidealist/stripe-ruby-mock,122.5714
refile/refile,19.4118
refinery/refinerycms,24.6456
refinery/refinerycms-blog,18.6957
rest-driver/rest-driver,1.0000
restlet/restlet-framework-java,1.5000
rgeo/activerecord-postgis-adapter,3.0000
rodjek/librarian-puppet,2.0000
roidrage/lograge,12.0000
RolifyCommunity/rolify,112.0000
rollbar/rollbar-gem,8.6918
rpush/rpush,79.1765
rs-pro/mongoid-elasticsearch,48.0000
rspec/rspec-collection_matchers,32.2389
rspec/rspec-core,52.7342
rspec/rspec-expectations,8.3927
rspec/rspec-mocks,5.8275
rspec/rspec-rails,42.4508
rtomayko/tilt,4.2667
ruby-amqp/amqp,2.4348
ruby-concurrency/concurrent-ruby,19.4513
ruby-json-schema/json-schema,14.2500
ruby-rdf/json-ld,14.0000
ruby-rdf/rdf,52.0702
rubycas/rubycas-client,51.9130
rubygems/rubygems,10.2500
rubygems/rubygems.org,11.9506
rubyzip/rubyzip,1.0000
rudionrails/yell,2.0000
saberma/shopqi,2.0000
sanity/quickml,1.0000
sass/sass,7.6411
saturnflyer/casting,18.0913
saturnflyer/surrounded,1.6531
savonrb/savon,10.0000
SchemaPlus/schema_plus,26.1209
schneems/wicked,4.0000
searchbox-io/Jest,1.2857
sensu/sensu,3.0000
sensu/sensu-community-plugins,2.0000
sensu/sensu-puppet,147.0464
sferik/mtgox,6.0000
sferik/multi_xml,2.0000
sferik/rails_admin,47.1032
sferik/t,16.7677
sferik/twitter,250.2159
shageman/the_next_big_thing,2.0000
shoes/shoes4,9.7887
Shopify/identity_cache,5.0000
Shopify/liquid,1.0368
skylightio/skylight-ruby,15.5789
slim-template/slim,8.4708
solnic/virtus,12.9143
soundcloud/lhm,35.6364
sparklemotion/mechanize,75.1930
spotify/docker-client,1.0000
spotify/helios,1.0000
spree-contrib/spree_i18n,2.0000
spree/spree,32.0123
springside/springside4,1.0000
square/okhttp,1.1111
structr/structr,1.0000
sunitparekh/data-anonymization,2.0000
supermarin/xcpretty,1.0000
swanson/stringer,2.0000
taskrabbit/makara,2.0000
tdiary/tdiary-core,76.5056
teampoltergeist/poltergeist,12.2941
tent/tentd,2.3448
test-kitchen/test-kitchen,1.0015
TestFX/TestFX,1.0000
thatJavaNerd/JRAW,1.0000
thibaudgg/video_info,40.0000
thoughtbot/appraisal,7.8182
thoughtbot/capybara-webkit,5.4824
thoughtbot/gitsh,2.0000
thoughtbot/high_voltage,4.0000
thoughtbot/hound,33.6400
thoughtbot/paperclip,35.0645
thoughtbot/paul_revere,10.0000
thoughtbot/shoulda-matchers,4.5085
thoughtbot/suspenders,2.0000
tim-vandecasteele/grape-swagger,19.3333
tinkerpop/blueprints,3.0000
tom-lord/regexp-examples,35.5000
torakiki/pdfsam,1.0000
torquebox/torquebox,54.6667
toy/image_optim,153.7391
travis-ci/travis-core,4.7143
travis-ci/travis-yaml,46.3077
trifork/erjang,1.0000
troessner/reek,10.9973
twall/jna,6.0000
twbs/bootstrap-sass,1.0000
twilio/twilio-java,1.0000
twitter/twitter-cldr-rb,110.5536
typhoeus/typhoeus,9.8182
vcr/vcr,7.8750
voltrb/volt,10.5000
voormedia/rails-erd,1.5000
whichdigital/active-rest-client,2.8000
wvanbergen/chunky_png,4.1667
wvanbergen/request-log-analyzer,24.6154
wvanbergen/state_machine-audit_trail,22.0000
yujinakayama/transpec,128.6560
yuki24/did_you_mean,3.9543
zanata/zanata-server,6.0000
